ts	phase	decision	why	evidence	result
2026-09-04T04:45:03Z	design	앱 중앙 조정 설계 승인	피클별 종을 마스터로 유지하면서 macOS와 메인 전달의 중복 트리거를 제거하기 위해	/private/tmp/picky-completion-notification-implementation-plan.md	implementation approved
2026-09-04T04:54:50Z	implementation	durable completion envelope와 앱 destination coordinator 연결	완료 projection 경로를 제거하고 terminal commit revision으로 채널 선택을 한 번만 수행하기 위해	PickyCompletionNotificationCoordinator.swift, agentd/src/terminal-durable-commit.ts	targeted agentd tests passed
2026-09-04T05:03:48Z	verification	completion destination, durable envelope, and FIFO delivery verified	successful completions honor the master bell and selected channels while main-agent work stays ordered	Swift targeted suites: 123 tests; agentd protocol/session suites: 459 tests; agentd typecheck	passed
2026-09-04T05:17:28Z	verification	one completion producer	required v1/v2 projection test migration is incomplete; 9 assertions still require the retired completion banner	/private/tmp/picky-completion-swift-projection-regression.log	NOT VERIFIED
2026-09-04T05:17:28Z	verification	bell is master	basic bell-off tests pass, but a busy primary delivers an external queued completion after the bell is disabled	/private/tmp/picky-completion-external-disable.log	NOT VERIFIED
2026-09-04T05:17:28Z	verification	destination matrix is exact	direct Swift harness observed mainPicky=1, macOS=2, both=3 and no effects for bell-off/non-completed	/private/tmp/picky-completion-destination-matrix.log	VERIFIED
2026-09-04T05:17:28Z	verification	duplicate terminal events do not duplicate effects	focused supervisor and Swift coordinator dedupe tests passed	/private/tmp/picky-completion-agentd-contract-evidence.log; /private/tmp/picky-completion-swift-targeted.log	VERIFIED
2026-09-04T05:17:28Z	verification	later follow-up completion can notify again	throwaway runtime emitted two accepted envelopes with distinct committed IDs for one session	/private/tmp/picky-completion-two-generations.log	VERIFIED
2026-09-04T05:17:28Z	verification	busy main FIFO and context	11 focused agentd completion contracts passed, including external FIFO, duplicate suppression, abort, and steering	/private/tmp/picky-completion-agentd-contract-evidence.log	VERIFIED
2026-09-04T05:17:28Z	verification	settings migration and persistence	71 Swift settings/persistence tests passed, including legacy true/false/missing/unknown destination behavior	/private/tmp/picky-completion-swift-settings.log	VERIFIED
2026-09-04T05:17:28Z	verification	cross-language protocol compatibility	164 contract tests passed; Swift fixture tests and direct TS durable/legacy parsing passed	/private/tmp/picky-completion-agentd-contracts.log; /private/tmp/picky-completion-swift-targeted.log; /private/tmp/picky-completion-typescript-fixture.log	VERIFIED
2026-09-04T05:17:28Z	verification	broad validation gate	agentd full CI failed 1/810 and Swift projection suites failed 9/312; agentd build and Xcode 16.3 build passed	/private/tmp/picky-completion-agentd-full.log; /private/tmp/picky-completion-agentd-build.log; /private/tmp/picky-completion-swift-projection-regression.log; /private/tmp/picky-completion-xcode-build.log	NOT VERIFIED
2026-09-04T05:23:46Z	review	1차 구현 검증 실패로 성공 판정 폐기	queued bell disable과 primary ack 누락이 사용자 알림 계약을 깨뜨려	/private/tmp/picky-completion-external-disable.log; /private/tmp/picky-completion-swift-projection-regression.log; /private/tmp/picky-completion-agentd-full.log	supersedes preliminary verification, needs fixes
2026-09-04T05:35:46Z	correction	P1 completion queue cancellation and acknowledgement fixes	primary now receives bell state barriers before child state changes; bridge acknowledgement follows correlated primary ack/error; legacy bridges use the coordinator	/tmp/picky-completion-correction-agentd-final.log; /tmp/picky-completion-correction-swift-final.log; /tmp/picky-completion-correction-agentd-ci.log	focused Swift 431, focused agentd 469, full agentd CI 1241 passed; agentd build/typecheck passed
2026-09-04T05:38:15Z	verification	final queued-envelope race guard verified	bell disable is rechecked after primary handle preparation before followUp begins	/tmp/picky-completion-correction-agentd-race.log; /tmp/picky-completion-correction-agentd-ci-final.log	agentd supervisor/durability 338 passed, typecheck passed, full CI 1241 passed
